"Effective Date","Securities Code","Securities Name","Securities Name(Eng.)","Exchange","CSRC Industry Code","CSRC Industry Name","CSRC Industry Name(Eng.)","CSRC Industry Code(Full)","CSRC Industry Name(Full)","CSRC Industry Name(Full)(Eng.)"
2016-03-25,000998,隆平高科,Yuan Longping High-tech Agriculture Co Ltd,Shenzhen,A,农、林、牧、渔业,"Agriculture, forestry, livestock farming, fishery",01,农业,Agriculture
2016-03-25,002041,登海种业,Shandong Denghai Seeds Co Ltd,Shenzhen,A,农、林、牧、渔业,"Agriculture, forestry, livestock farming, fishery",01,农业,Agriculture
2016-03-25,002772,众兴菌业,"Tianshui Zhongxing Bio-technology Co., Ltd.",Shenzhen,A,农、林、牧、渔业,"Agriculture, forestry, livestock farming, fishery",01,农业,Agriculture
2016-03-25,300087,荃银高科,Winall Hi-tech Seed Co Ltd,Shenzhen,A,农、林、牧、渔业,"Agriculture, forestry, livestock farming, fishery",01,农业,Agriculture
2016-03-25,300143,星河生物,"Starway Bio-technology Co., Ltd",Shenzhen,A,农、林、牧、渔业,"Agriculture, forestry, livestock farming, fishery",01,农业,Agriculture
2016-03-25,300189,神农基因,"Hainan Shennong Gene Technology Co., Ltd.",Shenzhen,A,农、林、牧、渔业,"Agriculture, forestry, livestock farming, fishery",01,农业,Agriculture
2016-03-25,600108,亚盛集团,Gansu Yasheng Industrial (Group) Co Ltd,Shanghai,A,农、林、牧、渔业,"Agriculture, forestry, livestock farming, fishery",01,农业,Agriculture
2016-03-25,600313,农发种业,"Zhongnongfa Seed Industry Group Co., Ltd.",Shanghai,A,农、林、牧、渔业,"Agriculture, forestry, livestock farming, fishery",01,农业,Agriculture
2016-03-25,600354,敦煌种业,Gansu Dunhuang Seed Co Ltd,Shanghai,A,农、林、牧、渔业,"Agriculture, forestry, livestock farming, fishery",01,农业,Agriculture
2016-03-25,600359,新农开发,Xinjiang Talimu Agriculture Development Co Ltd,Shanghai,A,农、林、牧、渔业,"Agriculture, forestry, livestock farming, fishery",01,农业,Agriculture
2016-03-25,600371,万向德农,"Wanxiang Doneed Co.,Ltd.",Shanghai,A,农、林、牧、渔业,"Agriculture, forestry, livestock farming, fishery",01,农业,Agriculture
2016-03-25,600506,香梨股份,Xin Jiang Korla Pear Co Ltd,Shanghai,A,农、林、牧、渔业,"Agriculture, forestry, livestock farming, fishery",01,农业,Agriculture
